m,obs,exp,normWidth
1902.0,0.0024538898460174366,0.0013567791760779988,0.0
1920.0,0.0026535599106182178,0.0013284040533375627,0.0
1939.0,0.0028384496201203555,0.0012984525348893245,0.0
1958.0,0.0029678896388113797,0.0012707575766307698,0.0
1978.0,0.0030692905762558062,0.001242138025859711,0.0
1997.0,0.0030534363847022758,0.001215054949814335,0.0
2017.0,0.003020477411199092,0.0011891733126554234,0.0
2036.0,0.0029204265889175986,0.0011645857573544577,0.0
2057.0,0.002816390698841261,0.0011384055235354208,0.0
2077.0,0.0027290458984242996,0.0011152567128070456,0.0
2097.0,0.0026552104848403825,0.0010921079020786704,0.0
2118.0,0.0025911989714717328,0.001069875779015261,0.0
2139.0,0.0024919072038672202,0.0010493337430604178,0.0
2160.0,0.002379396332114663,0.0010287917071055744,0.0
2181.0,0.0022840951364577837,0.001008867714252546,0.0
2202.0,0.002202461205202544,0.000989122522656756,0.0
2224.0,0.0021345577684252193,0.0009684370838421188,0.0
2246.0,0.0020869191568638136,0.000950019870312089,0.0
2268.0,0.0020565288516263087,0.0009316671406919726,0.0
2290.0,0.002059186321432897,0.0009132796260886012,0.0
2313.0,0.0020834388601430978,0.0008938842542612289,0.0
2335.0,0.0020596968666457775,0.0008753321594698292,0.0
2358.0,0.0020140645024766604,0.000856316237920966,0.0
2382.0,0.0019002681746671574,0.0008371387309264967,0.0
2405.0,0.0017745700807607827,0.0008187602867234635,0.0
2429.0,0.0016407251331246337,0.0008014024158893093,0.0
2453.0,0.0015086666337604756,0.0007848503620441929,0.0
2477.0,0.0013820177032419214,0.0007682983081990766,0.0
2501.0,0.0012754223154503434,0.0007555808753498095,0.0
2526.0,0.0011757120155418187,0.0007427195025650249,0.0
2550.0,0.0011030652362266776,0.0007303725846916318,0.0
2575.0,0.0010255183047746838,0.0007166273579376967,0.0
2601.0,0.0006125443694804869,0.0007023204455025755,0.0
2626.0,0.0005947037605324193,0.0006885637989303434,0.0
2652.0,0.0006012856285809165,0.0006742568864952222,0.0
2678.0,0.000621934028675261,0.0006599499740601009,0.0
2705.0,0.0006773769460770938,0.0006450927957620903,0.0
2731.0,0.000750520689195808,0.0006307858833269691,0.0
2758.0,0.0008084115388614505,0.0006159287050289586,0.0
2785.0,0.0008276833857928641,0.0006043558231417315,0.0
2813.0,0.0008006374142524566,0.0005930791923852328,0.0
2840.0,0.0007048311312785188,0.000582205298441466,0.0
2868.0,0.0005968019767756827,0.0005716974580602282,0.0
2896.0,0.0005268377859212139,0.0005616863644868529,0.0
2925.0,0.00045260611951237367,0.0005513177318572854,0.0
2954.0,0.00042352235662998863,0.000540949099227718,0.0
2983.0,0.00041558855211101006,0.000531083216787885,0.0
3012.0,0.00041884468790313103,0.0005214462441655084,0.0
3042.0,0.00044123695293194344,0.0005128048273392452,0.0
3071.0,0.0004715526809132314,0.0005044514577405242,0.0
3102.0,0.0004904204411706748,0.000495521993686719,0.0
3132.0,0.0004945474586885663,0.00048688057686045586,0.0
3163.0,0.00047566188995896205,0.00047795111280665064,0.0
3194.0,0.0004402940509740643,0.0004693527875788535,0.0
3225.0,0.00038396191530471103,0.0004608769633959599,0.0
3257.0,0.00034817982863020607,0.0004521277255297471,0.0
3289.0,0.00032739405591801913,0.0004447541979495926,0.0
3321.0,0.0003152968333830836,0.0004378734465908057,0.0
3354.0,0.000306284535611535,0.00043077767175205673,0.0
3387.0,0.0003000937623689058,0.0004239473961412755,0.0
3420.0,0.0002954648547963086,0.0004171954924644092,0.0
