m,obs,exp
855,0.007011705983718581,0.006744310416542872
860,0.0054964644363895655,0.0066848891793927145
865,0.004991383920613227,0.006625467942242558
870,0.004575435260562125,0.006625467942242558
875,0.004397171549111652,0.006595757323667479
880,0.004278329074811337,0.0065660467050924
885,0.004248618456236258,0.006536336086517321
890,0.004248618456236258,0.0065066254679422425
900,0.004426882167686731,0.006387782993641927
905,0.004664567116287361,0.0063580723750668484
910,0.00493196268346307,0.00632836175649177
915,0.005229068869213856,0.006298651137916691
925,0.005763860003565274,0.006239229900766533
935,0.00609067680789114,0.0061798086636163764
940,0.006120387426466219,0.006150098045041298
945,0.006120387426466219,0.006120387426466219
950,0.006060966189316061,0.006060966189316061
960,0.005882702477865589,0.006001544952165904
965,0.005763860003565274,0.005971834333590826
970,0.005555885673539723,0.005971834333590826
975,0.005169647632063699,0.005942123715015747
980,0.00493196268346307,0.005912413096440668
985,0.00469427773486244,0.005912413096440668
995,0.004337750311961494,0.00585299185929051
1005,0.004159486600511023,0.0058232812407154316
1015,0.004337750311961494,0.005763860003565274
1020,0.0046348564977122825,0.005734149384990195
1025,0.005110226394913542,0.005734149384990195
1030,0.0056450175292649596,0.005734149384990195
1035,0.006001544952165904,0.005734149384990195
1040,0.006239229900766533,0.005704438766415116
1045,0.006298651137916691,0.005674728147840038
1050,0.006239229900766533,0.005674728147840038
1055,0.005971834333590826,0.0056450175292649596
1060,0.0056450175292649596,0.0056450175292649596
1065,0.005318200724939093,0.005615306910689881
1070,0.005021094539188306,0.005585596292114802
1075,0.00493196268346307,0.005555885673539723
1080,0.00493196268346307,0.0054964644363895655
1085,0.004991383920613227,0.0054964644363895655
1090,0.005139937013488621,0.0054964644363895655
1095,0.00537762196208925,0.005466753817814487
1105,0.005585596292114802,0.005466753817814487
1115,0.006001544952165904,0.005437043199239408
1125,0.00632836175649177,0.00537762196208925
1135,0.0066848891793927145,0.005347911343514171
1140,0.006863152890843187,0.005318200724939093
1150,0.007308812169469368,0.005288490106364014
1160,0.007784182066670628,0.005288490106364014
1165,0.008051577633846337,0.005288490106364014
1170,0.008348683819597125,0.005258779487788935
1175,0.008675500623922989,0.005258779487788935
1180,0.009032028046823935,0.005229068869213856
1185,0.009329134232574723,0.005229068869213856
1195,0.009685661655475667,0.005199358250638778
1200,0.00986392536692614,0.005199358250638778
